replicate,seed,generation,extended_extinction,total,sensitive,resistant,effective_genotypes,resistant_percent
5,100047,19,False,2162,19,2143,9.183390765798665,99.12118408880666
5,100047,20,False,3107,0,3107,10.0039563784563,100.0
5,100047,21,False,4521,0,4521,11.747333868693909,100.0
5,100047,22,False,6708,0,6708,13.38139345443552,100.0
5,100047,23,False,9915,0,9915,15.441624151518951,100.0
5,100047,24,False,14965,0,14965,17.140199990187977,100.0
5,100047,25,False,22630,0,22630,19.30700890755863,100.0
5,100047,26,False,34608,0,34608,21.147597549509843,100.0
5,100047,27,False,52908,0,52908,23.113115394662405,100.0
5,100047,28,False,81719,0,81719,25.041219248043948,100.0
5,100047,29,False,126653,0,126653,27.16857518916936,100.0
5,100047,30,False,197677,0,197677,29.29632870855394,100.0
5,100047,31,False,309395,0,309395,31.31439021069586,100.0
5,100047,32,False,485433,0,485433,33.44912530990455,100.0
5,100047,33,False,766592,0,766592,35.57488420448304,100.0
5,100047,34,False,1214562,0,1214562,37.72737781709399,100.0
6,100048,0,False,100,100,0,1.0,0.0
6,100048,1,False,139,139,0,1.043591486274537,0.0
6,100048,2,False,212,212,0,1.3496269199848479,0.0
6,100048,3,False,308,308,0,1.4834140466630672,0.0
6,100048,4,False,429,428,1,1.662571941373897,0.2331002331002331
6,100048,5,False,623,623,0,1.988270821963384,0.0
6,100048,6,False,918,918,0,2.3576338208154968,0.0
6,100048,7,False,1352,1352,0,2.752666762108387,0.0
6,100048,8,False,1915,1915,0,3.185029053193288,0.0
6,100048,9,False,2772,2771,1,3.6399508539045264,0.03607503607503607
6,100048,10,False,3942,3933,9,4.061211556614885,0.228310502283105
6,100048,11,False,5805,5786,19,4.528774096035339,0.3273040482342808
6,100048,12,False,8546,8508,38,5.2934305348252115,0.444652468991341
6,100048,13,False,12568,12493,75,6.156899604621229,0.5967536600891152
6,100048,14,False,18392,18277,115,7.057256045718925,0.6252718573292736
6,100048,15,False,27185,26994,191,8.146677022519626,0.702593341916498
6,100048,16,False,4319,4036,283,10.066799237989304,6.552442695068303
6,100048,17,False,981,561,420,14.13746336042624,42.813455657492355
6,100048,18,False,654,85,569,10.385647982905041,87.00305810397553
6,100048,19,False,820,17,803,8.052063699120659,97.92682926829268
6,100048,20,False,1185,0,1185,8.287865186575395,100.0
6,100048,21,False,1748,0,1748,9.40918037411522,100.0
6,100048,22,False,2559,0,2559,10.123538563648266,100.0
6,100048,23,False,3795,0,3795,11.594306342007153,100.0
6,100048,24,False,5701,0,5701,12.47806145991656,100.0
6,100048,25,False,8686,0,8686,13.610909465107124,100.0
6,100048,26,False,13505,0,13505,14.984773536351772,100.0
6,100048,27,False,20751,0,20751,16.25318746896035,100.0
6,100048,28,False,32068,0,32068,17.360922815241324,100.0
6,100048,29,False,50349,0,50349,18.589726180380445,100.0
6,100048,30,False,79029,0,79029,19.772662092372787,100.0
6,100048,31,False,124160,0,124160,20.956431963292896,100.0
6,100048,32,False,196535,0,196535,22.42226998302803,100.0
6,100048,33,False,310942,0,310942,23.86931753236725,100.0
6,100048,34,False,494506,0,494506,25.321377002977176,100.0
6,100048,35,False,788921,0,788921,26.91423460434945,100.0
6,100048,36,False,1260647,0,1260647,28.662765577314385,100.0
7,100049,0,False,100,100,0,1.0,0.0
7,100049,1,False,160,160,0,1.3031931902720968,0.0
7,100049,2,False,218,218,0,1.520304638121298,0.0
